Team_Abbr,YDS/G,PTS/G,Passing,Rushing,Passing_Rank,Rushing_Rank,Total_Offense_Rank,Scoring_Rank,Pass_Friendly_Score,Rush_Friendly_Score,Offensive_Efficiency_2018,Offensive_Efficiency_2019,Offensive_Efficiency_2020,Offensive_Efficiency_2021,Offensive_Efficiency_2022,Offensive_Efficiency_2023,PTS/G_2018,PTS/G_2019,PTS/G_2020,PTS/G_2021,PTS/G_2022,PTS/G_2023,Pass_Run_Ratio_2018,Pass_Run_Ratio_2019,Pass_Run_Ratio_2020,Pass_Run_Ratio_2021,Pass_Run_Ratio_2022,Pass_Run_Ratio_2023,Passing_2018,Passing_2019,Passing_2020,Passing_2021,Passing_2022,Passing_2023,Rushing_2018,Rushing_2019,Rushing_2020,Rushing_2021,Rushing_2022,Rushing_2023,YDS/G_2018,YDS/G_2019,YDS/G_2020,YDS/G_2021,YDS/G_2022,YDS/G_2023,YDS/G_Recent,YDS/G_3YR_Avg,YDS/G_YoY_Change,YDS/G_Trend,PTS/G_Recent,PTS/G_3YR_Avg,PTS/G_YoY_Change,PTS/G_Trend,Pass_Run_Ratio_Recent,Pass_Run_Ratio_3YR_Avg,Pass_Run_Ratio_YoY_Change,Pass_Run_Ratio_Trend,Offense_Quality_Score,Offense_Stability
GB,112.1,22.5,5873,345.5,11.0,11.0,15.0,12.0,20.799999999999997,20.799999999999997,22.555488902219555,20.94707520891365,24.032105760151083,23.684210526315788,17.510648367250354,20.10498687664042,23.5,23.5,31.8,26.5,21.8,22.5,15.998374424275264,16.0,16.0,16.999452954048138,17.00207161882214,16.998552821997105,5905.0,5528.0,6224.0,6215.0,5745.0,5873.0,369.1,345.5,389.0,365.6,337.9,345.5,104.2,112.2,132.4,111.8,124.3,112.1,112.1,116.06666666666666,-12.200000000000003,0.150000000000222,22.5,23.599999999999998,0.6999999999999993,-2.0000000000002998,16.998552821997105,17.00002579828913,-0.0035187968250340873,-0.0004500660255146565,19.8,91.22700556312455
HOU,96.9,22.2,5820,342.4,12.0,12.0,22.5,13.5,17.849999999999998,17.849999999999998,19.891142998515587,18.81533101045296,26.193724420190996,19.69057665260197,19.579945799457995,22.890103217972072,25.1,23.6,24.0,16.5,17.0,22.2,16.001103143960286,16.0,15.99786837196909,16.997482919813017,17.001763668430335,16.99766355140187,5802.0,5792.0,6004.0,4727.0,4820.0,5820.0,362.6,362.0,375.3,278.1,283.5,342.4,126.3,125.6,91.6,83.6,86.8,96.9,96.9,89.09999999999998,10.100000000000009,6.650000000000815,22.2,18.566666666666666,5.199999999999999,2.8500000000003323,16.99766355140187,16.998970046548408,-0.004100117028464467,9.031579442795515e-05,15.899999999999999,86.11893588504294
JAX,96.8,22.2,5772,339.5,13.0,13.0,24.0,13.5,16.7,16.7,14.219384793964016,17.56440281030445,20.144832126398946,14.415954415954415,19.092627599243855,22.904009720534628,15.3,18.8,19.1,14.9,23.8,22.2,16.0,15.997659449970742,16.00122661760196,16.99738048461035,16.99776161163962,17.001472754050074,4832.0,5468.0,5218.0,5191.0,6075.0,5772.0,302.0,341.8,326.1,305.4,357.4,339.5,107.7,106.8,94.9,103.2,124.5,96.8,96.8,108.16666666666667,-27.700000000000003,-3.200000000000002,22.2,20.3,-1.6000000000000014,3.6500000000005604,17.001472754050074,16.99887161676668,0.0037111424104523394,0.002046134719861477,15.299999999999999,80.91702505632873
NO,102.5,23.6,5732,337.2,14.0,14.0,21.0,9.0,16.9,16.9,24.88888888888889,26.352128883774455,21.280353200883003,18.282270215971874,16.649848637739655,23.076923076923077,31.5,28.6,30.1,21.4,19.4,23.6,15.999472573839663,15.99893019523937,16.001594048884165,17.001642036124796,16.998202516476933,16.998813760379598,6067.0,5982.0,6023.0,5177.0,5674.0,5732.0,379.2,373.9,376.4,304.5,333.8,337.2,126.6,108.6,141.6,117.1,116.6,102.5,102.5,112.06666666666666,-14.099999999999994,-7.30000000000083,23.6,21.46666666666667,4.200000000000003,1.1000000000000925,16.998813760379598,16.999552770993777,0.0006112439026644267,-0.0014141378725978254,19.2,92.00951532281452
IND,121.1,23.3,5725,336.8,15.0,15.0,10.0,10.5,19.5,19.5,25.20372526193248,16.948356807511736,22.595190380761522,17.755905511811022,15.487674169346194,19.2326372025255,27.1,22.6,28.2,26.5,17.0,23.3,15.99948213360953,15.998778252901651,15.998413118222691,17.00086430423509,17.002567394094992,16.998218527315913,6179.0,5238.0,6049.0,5901.0,5298.0,5725.0,386.2,327.4,378.1,347.1,311.6,336.8,107.4,133.1,124.8,149.4,109.8,121.1,121.1,126.76666666666665,11.299999999999997,-14.150000000002253,23.3,22.266666666666666,6.300000000000001,-1.6000000000003354,16.998218527315913,17.000550075215333,-0.004348866779078975,-0.001322888459587605,22.700000000000003,82.27580312701836
CLE,118.6,23.3,5710,335.9,16.0,16.0,12.0,10.5,18.2,18.2,18.96460644479662,17.622304050499736,17.186183656276327,14.123836503439902,14.497991967871485,19.633118492811104,22.4,20.9,25.5,20.5,21.2,23.3,15.997830802603037,16.001760046934585,15.998376623376622,17.002348796241925,16.99799484388427,16.999106877046742,5900.0,5455.0,5913.0,5791.0,5934.0,5710.0,368.8,340.9,369.6,340.6,349.1,335.9,118.3,118.8,148.4,145.4,146.5,118.6,118.6,136.83333333333334,-27.900000000000006,-13.400000000001487,23.3,21.666666666666668,2.1000000000000014,1.4000000000001704,16.999106877046742,16.999816839057647,0.0011120331624709934,-0.0016209595975887254,21.9,94.50874821613084
ATL,127.0,18.9,5683,334.3,17.0,17.0,9.0,26.0,18.4,18.4,26.319135410044503,27.99412196914034,25.848563968668408,21.571330117160578,13.428991905813097,14.867994441871238,25.9,23.8,24.8,18.4,21.5,18.9,16.001028013364174,15.999473268369766,16.001628664495115,16.998025016458197,17.00251098556183,16.999700867484297,6226.0,6075.0,5895.0,5164.0,5417.0,5683.0,389.1,379.7,368.4,303.8,318.6,334.3,98.3,85.1,95.8,85.4,159.9,127.0,127.0,124.10000000000001,-32.900000000000006,20.800000000003585,18.9,19.599999999999998,-2.6000000000000014,0.2500000000000783,16.999700867484297,17.00007895650144,-0.0028101180775337298,0.0008379255130523729,13.8,93.06672887393214
LAC,96.6,20.4,5599,329.4,18.0,18.0,25.0,21.0,12.9,12.9,22.851041110517887,23.193392980041295,21.524663677130047,25.84514721919302,25.656167979002625,21.07186358099878,26.8,21.1,24.0,27.9,23.0,20.4,16.00107353730542,16.00163309744148,15.998429730437058,17.00153767298821,16.999721681046477,16.997571341833638,5962.0,5879.0,6113.0,6634.0,6108.0,5599.0,372.6,367.4,382.1,390.2,359.3,329.4,117.1,90.8,111.5,107.9,89.6,96.6,96.6,98.03333333333335,7.0,-5.650000000000934,20.4,23.766666666666666,-2.6000000000000014,-3.750000000000502,16.997571341833638,16.999610231956108,-0.0021503392128394694,-0.001983165577284375,10.399999999999999,86.9166183674403
ARI,139.1,19.4,5509,324.1,19.0,19.0,4.0,24.5,18.5,18.5,16.76602086438152,18.140703517587937,18.32811801519893,21.628131021194605,18.15269620928991,13.953488372093023,14.1,22.6,25.6,26.4,20.0,19.4,15.99751655629139,15.999414691249635,15.998439937597503,17.002141327623125,16.998454404945903,16.997840172786177,3865.0,5467.0,6153.0,6352.0,5499.0,5509.0,241.6,341.7,384.6,373.6,323.5,324.1,83.9,124.4,139.8,122.1,110.2,139.1,139.1,123.8,28.89999999999999,8.500000000000776,19.4,21.933333333333334,-0.6000000000000014,-3.5000000000004983,16.997840172786177,16.9994786351184,-0.0006142321597266687,-0.0021505774184724198,16.700000000000003,85.55671201152983
CHI,141.1,21.2,5495,323.2,20.0,20.0,2.0,18.0,18.4,18.4,21.7234262125903,19.204389574759944,22.586520947176687,15.411298315163528,10.816191108161911,15.006252605252188,26.3,17.5,23.3,18.3,19.2,21.2,15.998836871183485,16.000673854447438,15.998792999396501,16.99739752765127,17.001299545159192,17.001856435643564,5502.0,4749.0,5302.0,5225.0,5233.0,5495.0,343.9,296.8,331.4,307.4,307.8,323.2,121.1,91.1,102.9,118.7,177.3,141.1,141.1,145.70000000000002,-36.20000000000002,11.200000000002232,21.2,19.566666666666666,2.0,1.4500000000001778,17.001856435643564,17.000184502818005,0.000556890484372019,0.0022294539961489504,21.4,93.80590836023924
