,Name,Team,BYE,Pos,ADP,FantasyPros,SleeperRank,SleepvADP,SleepvFP,Round,Pick
,Baker Mayfield,TB,11,QB,157,132,171,0.09,0.30,,159
,Adam Thielen,CAR,11,WR,162,164,172,0.06,0.05,,160
,Kimani Vidal,LAC,5,RB,160,197,173,0.08,-0.12,,161
,Darnell Mooney,ATL,12,WR,171,158,174,0.02,0.10,,162
,Troy Franklin,DEN,14,WR,209,216,175,-0.16,-0.19,,163
,Ray Davis,BUF,12,RB,157,157,176,0.12,0.12,,164
,Deshaun Watson,CLE,10,QB,168,125,178,0.06,0.42,,165
,Cade Otton,TB,11,TE,198,170,179,-0.10,0.05,,166
,Braelon Allen,NYJ,12,RB,165,176,180,0.09,0.02,,167
,Isaiah Likely,BAL,14,TE,180,175,181,0.01,0.03,,168
,Quentin Johnston,LAC,5,WR,187,189,182,-0.03,-0.04,15,169
,Hunter Henry,NE,14,TE,185,150,183,-0.01,0.22,,170
,Tyrone Tracy,NYG,11,RB,176,194,184,0.05,-0.05,,171
,DeMario Douglas,NE,14,WR,196,165,185,-0.06,0.12,,172
,Khalil Herbert,CHI,7,RB,178,155,188,0.06,0.21,,173
,Bucky Irving,TB,11,RB,164,174,189,0.15,0.09,,174
,Roman Wilson,PIT,9,WR,249,199,190,-0.24,-0.05,,175
,Michael Wilson,ARI,11,WR,172,162,192,0.12,0.19,,176
,Tyler Conklin,NYJ,12,TE,182,161,193,0.06,0.20,,177
,Dameon Pierce,HOU,14,RB,239,187,194,-0.19,0.04,,178
,Will Levis,TEN,5,QB,173,143,196,0.13,0.37,,179
,Jermaine Burton,CIN,12,WR,204,193,197,-0.03,0.02,,180
,Geno Smith,SEA,10,QB,177,126,198,0.12,0.57,16,181
,Rashod Bateman,BAL,14,WR,238,172,201,-0.16,0.17,,182
,Justin Fields,PIT,9,QB,202,219,202,0.00,-0.08,,183
,Marvin Mims,DEN,14,WR,241,182,203,-0.16,0.12,,184
,Chigoziem Okonkwo,TEN,5,TE,199,186,206,0.04,0.11,,185
,Malachi Corley,NYJ,12,WR,204,215,207,0.01,-0.04,,186
,Audric Estime,DEN,14,RB,212,195,210,-0.01,0.08,,187
,Bo Nix,DEN,14,QB,187,180,215,0.15,0.19,,188
,Clyde Edwards-Helaire,KC,6,RB,226,209,216,-0.04,0.03,,189
,Tank Bigsby,JAC,12,RB,200,191,217,0.09,0.14,,190
,Noah Fant,SEA,10,TE,221,179,218,-0.01,0.22,,191
,Will Shipley,PHI,5,RB,227,220,219,-0.04,0.00,,192
,Demarcus Robinson,LAR,6,WR,255,183,220,-0.14,0.20,17,193
,Drake Maye,NE,14,QB,207,207,221,0.07,0.07,,194
,Bryce Young,CAR,11,QB,193,166,223,0.16,0.34,,195
,Alexander Mattison,LV,10,RB,211,192,224,0.06,0.17,,196
,Wan'Dale Robinson,NYG,11,WR,231,181,226,-0.02,0.25,,197
,Mike Gesicki,CIN,12,TE,256,200,228,-0.11,0.14,,198
,Jalen McMillan,TB,11,WR,252,204,230,-0.09,0.13,,199
,Roschon Johnson,CHI,7,RB,224,178,231,0.03,0.3,,200
,Keaton Mitchell,BAL,14,RB,257,214,232,-0.1,0.08,,201
,Javon Baker,NE,14,WR,242,223,233,-0.04,0.04,,202
,Jonnu Smith,MIA,6,TE,218,205,234,0.07,0.14,,203
,Daniel Jones,NYG,11,QB,203,163,235,0.16,0.44,,204
,DJ Chark,LAC,5,WR,279,211,236,-0.15,0.12,18,205
,Tyler Boyd,TEN,5,WR,262,208,238,-0.09,0.14,,206
,Derek Carr,NO,12,QB,200,160,239,0.2,0.49,,207
,Russell Wilson,PIT,9,QB,210,185,241,0.15,0.3,,208
,Juwan Johnson,NO,12,TE,246,171,243,-0.01,0.42,,209
,Jordan Mason,SF,9,RB,186,190,244,0.31,0.28,,210
,Justice Hill,BAL,14,RB,235,203,246,0.05,0.21,,211
,Sam Darnold,MIN,6,QB,215,169,247,0.15,0.46,,212
,Trey Sermon,IND,14,RB,275,224,251,-0.09,0.12,,213
,Jamaal Williams,NO,12,RB,237,212,255,0.08,0.2,,214
,Kenneth Gainwell,PHI,5,RB,240,210,258,0.08,0.23,,215
,Zach Ertz,WAS,14,TE,268,221,262,-0.02,0.19,,216
,Elijah Moore,CLE,10,WR,282,206,268,-0.05,0.3,,217
,Gardner Minshew,LV,10,QB,232,217,271,0.17,0.25,,218
,Jalin Hyatt,NYG,11,WR,303,201,272,-0.1,0.35,,219
,Darius Slayton,NYG,11,WR,308,196,278,-0.1,0.42,,220
,Tucker Kraft,GB,10,TE,299,198,279,-0.07,0.41,,221
,Kendrick Bourne,NE,14,WR,317,225,280,-0.12,0.24,,222
,Michael Mayer,LV,10,TE,301,218,282,-0.06,0.29,,223
,Miles Sanders,CAR,11,RB,288,222,313,0.09,0.41,,224
